dataset,detector,video_name,true_label,n_frames,n_correct_frames,n_wrong_frames,frame_accuracy,avg_prob_fake,std_prob_fake,video_pred_by_avg,video_correct_by_avg,video_pred_by_majority,video_correct_by_majority
frames_cropped_faces_1src,FFD,1_1,fake,20,12,8,0.6,0.497802,0.0,real,0,fake,1
frames_cropped_faces_1src,FFD,1_10,fake,20,20,0,1.0,0.497805,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_11,fake,20,0,20,0.0,0.4978,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_12,fake,20,0,20,0.0,0.497796,2e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_13,fake,20,20,0,1.0,0.497803,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_14,fake,20,0,20,0.0,0.497795,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_15,fake,20,20,0,1.0,0.497808,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_16,fake,20,20,0,1.0,0.497803,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_17,fake,20,20,0,1.0,0.497803,0.0,real,0,fake,1
frames_cropped_faces_1src,FFD,1_18,fake,20,20,0,1.0,0.497805,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_19,fake,20,20,0,1.0,0.497805,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_2,fake,20,0,20,0.0,0.4978,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_20,fake,20,0,20,0.0,0.4978,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_21,fake,20,13,7,0.65,0.497803,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_22,fake,20,19,1,0.95,0.497804,2e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_23,fake,20,20,0,1.0,0.497806,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_24,fake,20,0,20,0.0,0.4978,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_25,fake,20,20,0,1.0,0.497807,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_26,fake,20,20,0,1.0,0.497804,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_27,fake,20,0,20,0.0,0.497799,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_28,fake,20,0,20,0.0,0.497798,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_29,fake,20,20,0,1.0,0.497811,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_3,fake,20,20,0,1.0,0.497807,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_30,fake,20,1,19,0.05,0.4978,3e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_31,fake,20,6,14,0.3,0.497801,2e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_32,fake,20,20,0,1.0,0.497809,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_33,fake,20,1,19,0.05,0.497799,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_34,fake,20,6,14,0.3,0.497802,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_35,fake,20,15,5,0.75,0.497802,0.0,real,0,fake,1
frames_cropped_faces_1src,FFD,1_36,fake,20,0,20,0.0,0.497791,2e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_37,fake,20,0,20,0.0,0.497789,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_38,fake,20,20,0,1.0,0.497805,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_39,fake,20,0,20,0.0,0.497797,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_4,fake,20,20,0,1.0,0.497805,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_40,fake,20,20,0,1.0,0.497806,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_41,fake,20,20,0,1.0,0.497811,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_42,fake,20,0,20,0.0,0.497793,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_43,fake,20,0,20,0.0,0.497797,1e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_44,fake,20,20,0,1.0,0.497803,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_45,fake,20,20,0,1.0,0.497803,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_46,fake,20,20,0,1.0,0.497806,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_47,fake,20,20,0,1.0,0.49781,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_48,fake,20,20,0,1.0,0.497806,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_49,fake,20,16,4,0.8,0.497803,1e-06,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_5,fake,20,20,0,1.0,0.497806,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_50,fake,20,20,0,1.0,0.497804,0.0,fake,1,fake,1
frames_cropped_faces_1src,FFD,1_6,fake,20,20,0,1.0,0.49781,1e-06,fake,1,fake,1
